****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
15:54:35   3372   686464K  179456K  155437K  152436K  com.bestv.ott
15:54:37   3372   686464K  179456K  155435K  152436K  com.bestv.ott
15:54:40   3372   686464K  179456K  155435K  152436K  com.bestv.ott
15:54:43   3372   686464K  179456K  155434K  152436K  com.bestv.ott
15:54:46   3372   686464K  179456K  155434K  152436K  com.bestv.ott
15:54:48   3372   686464K  179456K  155434K  152436K  com.bestv.ott
15:54:51   3372   686464K  179456K  155434K  152436K  com.bestv.ott
15:54:54   3372   684384K  179440K  155417K  152420K  com.bestv.ott
15:54:56   3372   676388K  179752K  155613K  152712K  com.bestv.ott
15:54:59   3372   700672K  179796K  155657K  152756K  com.bestv.ott
15:55:02   3372   700672K  179824K  155950K  153132K  com.bestv.ott
15:55:04   3372   701836K  179940K  156062K  153244K  com.bestv.ott
15:55:07   3372   700544K  179828K  155950K  153132K  com.bestv.ott
15:55:10   3372   700672K  179900K  156016K  153200K  com.bestv.ott
15:55:12   3372   700672K  179900K  156015K  153200K  com.bestv.ott
15:55:15   3372   700128K  176996K  153308K  150536K  com.bestv.ott
15:55:18   3372   684728K  177964K  154272K  151496K  com.bestv.ott
15:55:20   3372   683040K  177464K  153772K  150996K  com.bestv.ott
15:55:23   3372   683040K  177464K  153772K  150996K  com.bestv.ott
15:55:26   3372   683040K  177464K  153771K  150996K  com.bestv.ott
15:55:29   3372   683040K  177456K  153763K  150988K  com.bestv.ott
15:55:31   3372   683008K  177716K  154023K  151248K  com.bestv.ott
15:55:34   3372   683008K  177732K  154039K  151264K  com.bestv.ott
15:55:38   3372   701432K  180160K  156465K  153688K  com.bestv.ott
15:55:41   3372   725940K  194584K  170893K  168116K  com.bestv.ott
15:55:43   3372   728476K  191408K  167717K  164940K  com.bestv.ott
15:55:46   3372   730092K  197272K  173581K  170804K  com.bestv.ott
15:55:49   3372   748480K  194816K  171125K  168348K  com.bestv.ott
15:55:52   3372   760480K  203092K  179406K  176628K  com.bestv.ott
15:55:55   3372   739692K  205692K  181911K  179164K  com.bestv.ott
15:55:58   3372   730056K  195976K  172218K  169448K  com.bestv.ott
15:56:01   3372   732256K  200272K  176514K  173744K  com.bestv.ott
15:56:04   3372   743020K  202452K  178174K  175404K  com.bestv.ott
