指定应用的CPU内存监控情况
应用包名：,tv.fun.launcher
应用名称: ,tv.fun.launcher
应用PID: ,5207
机器内存大小(MB)：,739.88MB
机器CPU型号：, ARMv7 Processor rev 3 (v7l)
机器android系统版本：,4.2.2
手机型号：,M8_SDK1.0
UID：,10000
时间,应用占用内存PSS(MB),应用占用内存比(%), 机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V)
2014-11-28 16:20:18,144.41,19.52,203.33,5.27,14.78,95042,0%,0mA,30.0,0.001
2014-11-28 16:20:24,145.28,19.64,202.57,5.16,14.10,95042,0%,0mA,30.0,0.001
2014-11-28 16:20:29,146.20,19.76,200.91,5.27,14.03,97474,0%,0mA,30.0,0.001
2014-11-28 16:20:34,153.21,20.71,189.30,8.94,33.23,110970,0%,0mA,30.0,0.001
2014-11-28 16:20:40,154.46,20.88,188.15,7.24,17.99,110970,0%,0mA,30.0,0.001
2014-11-28 16:20:45,162.84,22.01,178.62,11.47,26.63,119084,0%,0mA,30.0,0.001
2014-11-28 16:20:51,163.22,22.06,178.46,8.66,27.35,123991,0%,0mA,30.0,0.001
2014-11-28 16:20:56,162.03,21.90,179.72,6.84,19.93,132156,0%,0mA,30.0,0.001
2014-11-28 16:21:01,162.07,21.91,179.57,4.45,14.66,132204,0%,0mA,30.0,0.001
2014-11-28 16:21:07,162.13,21.91,179.57,4.56,13.29,133164,0%,0mA,30.0,0.001
2014-11-28 16:21:12,162.20,21.92,178.21,8.22,22.49,149271,0%,0mA,30.0,0.001
2014-11-28 16:21:17,162.48,21.96,170.61,9.14,31.24,165534,0%,0mA,30.0,0.001
2014-11-28 16:21:23,167.86,22.69,165.92,10.57,29.65,171996,0%,0mA,30.0,0.001
2014-11-28 16:21:28,165.38,22.35,194.78,15.35,28.20,172001,0%,0mA,30.0,0.001
2014-11-28 16:21:33,159.71,21.59,200.88,11.79,23.68,172001,0%,0mA,30.0,0.001
2014-11-28 16:21:39,160.26,21.66,200.91,9.99,17.86,172001,0%,0mA,30.0,0.001
2014-11-28 16:21:44,160.26,21.66,200.84,9.99,20.61,172001,0%,0mA,30.0,0.001
2014-11-28 16:21:50,123.70,16.72,238.51,18.93,31.46,179244,0%,0mA,30.0,0.001
2014-11-28 16:21:55,116.24,15.71,242.98,15.21,30.86,182940,0%,0mA,30.0,0.001
2014-11-28 16:22:00,132.11,17.86,213.27,13.78,32.60,216705,0%,0mA,30.0,0.001
2014-11-28 16:22:06,147.89,19.99,188.06,12.74,31.14,243196,0%,0mA,30.0,0.001
2014-11-28 16:22:11,149.55,20.21,186.62,5.12,14.59,244908,0%,0mA,30.0,0.001
2014-11-28 16:22:16,151.93,20.54,184.11,5.88,16.92,246060,0%,0mA,30.0,0.001
2014-11-28 16:22:22,155.30,20.99,181.17,6.43,17.92,247789,0%,0mA,30.0,0.001
2014-11-28 16:22:27,159.12,21.51,177.05,7.30,17.49,250395,0%,0mA,30.0,0.001
2014-11-28 16:22:33,156.63,21.17,178.37,9.25,21.26,256110,0%,0mA,30.0,0.001
2014-11-28 16:22:38,156.74,21.18,178.08,8.77,24.56,275898,0%,0mA,30.0,0.001
2014-11-28 16:22:43,157.92,21.34,175.47,9.44,25.42,294953,0%,0mA,30.0,0.001
2014-11-28 16:22:49,157.95,21.35,175.81,6.67,16.19,297506,0%,0mA,30.0,0.001
2014-11-28 16:22:54,157.95,21.35,174.87,6.34,20.35,300130,0%,0mA,30.0,0.001
2014-11-28 16:23:00,157.97,21.35,175.04,6.73,17.94,304082,0%,0mA,30.0,0.001
2014-11-28 16:23:05,157.97,21.35,174.96,7.32,19.61,308085,0%,0mA,30.0,0.001
2014-11-28 16:23:10,157.97,21.35,175.16,7.05,17.52,311955,0%,0mA,30.0,0.001
2014-11-28 16:23:16,157.00,21.22,177.15,10.29,23.06,322250,0%,0mA,30.0,0.001
2014-11-28 16:23:21,157.27,21.26,176.77,10.18,24.84,341941,0%,0mA,30.0,0.001
2014-11-28 16:23:27,157.27,21.26,176.60,8.36,21.83,359183,0%,0mA,30.0,0.001
2014-11-28 16:23:32,158.32,21.40,174.78,7.91,20.74,369767,0%,0mA,30.0,0.001
2014-11-28 16:23:37,158.37,21.40,174.40,5.06,15.33,370807,0%,0mA,30.0,0.001
2014-11-28 16:23:43,158.37,21.40,174.47,4.82,15.05,370808,0%,0mA,30.0,0.001
2014-11-28 16:23:48,162.25,21.93,175.88,11.67,23.58,372897,0%,0mA,30.0,0.001
2014-11-28 16:23:54,195.21,26.38,171.87,23.76,35.61,372955,0%,0mA,30.0,0.001
